Puzzle,Category,Date
VAMPIRE MOVIE,Show Biz,10/5/17
GLACIER BAY,On the Map,10/6/17
WILD BRONCO,Living Thing,10/9/17
BOMBER JACKET,What Are You Wearing?,10/10/17
A HOUSEHOLD WORD,Thing,10/11/17
YEARLY BASH,Event,10/12/17
HUDDLE UP,Phrase,10/13/17
YOGA APPAREL,What Are You Wearing?,10/16/17
MANGO JUICE,Food &amp; Drink,10/17/17
PHOTO BOX,Around the House,10/18/17
COWBOY OUTFIT,What Are You Wearing?,10/19/17
COMPACT MICROWAVE,In the Kitchen,10/20/17
PAIR OF HEADPHONES,Around the House,10/23/17
BEIJING AND SHANGHAI,On the Map,10/24/17
GOOEY FUDGE,Food &amp; Drink,10/25/17
OFFICIAL BIOGRAPHER,Person,10/26/17
GULPING DOWN COFFEE,What Are You Doing?,10/27/17
GIANT CYCLOPS,Character,10/30/17
FARGO AND BISMARCK,On the Map,10/31/17
OFFICE BUILDING,Place,11/1/17
ROOKS AND PAWNS,Fun &amp; Games,11/2/17
JAMES BOND VILLAINS,Characters,11/3/17
BABY QUILT,Around the House,11/6/17
HEAVY PARKA,What Are You Wearing?,11/7/17
MAGICAL VOYAGE,Event,11/8/17
BUTCHER PAPER,In the Kitchen,11/9/17
WILDLIFE BIOLOGIST,Occupation,11/10/17
PATIO CUSHIONS,Around the House,11/13/17
A MINOR QUIBBLE,Thing,11/14/17
BAKED ZUCCHINI,Food &amp; Drink,11/15/17
WIDE BOULEVARD,Place,11/16/17
PROVIDING USEFUL ADVICE,What Are You Doing?,11/17/17
BEAUTY PAGEANT,Event,11/20/17
BOYHOOD PALS,People,11/21/17
WIRE WHISK,In the Kitchen,11/22/17
LOGIC PUZZLE,Fun &amp; Games,11/23/17
INGENIOUS INVENTION,Thing,11/24/17
KYOTO JAPAN,On the Map,11/27/17
WARMING UP MY VOICE,What Are You Doing?,11/28/17
GYPSY MOTH,Living Thing,11/29/17
KARAOKE PARTY,Fun &amp; Games,11/30/17
ON THE HIGHWAY,Phrase,12/1/17
JOURNEY BY BOAT,Event,12/4/17
BASKETS AND HAMPERS,Around the House,12/5/17
YOUNGSTOWN OHIO,On the Map,12/6/17
HUGS ALL AROUND,Phrase,12/7/17
EGYPTIAN PHARAOHS,People,12/8/17
QUICK JOG IN THE PARK,Fun &amp; Games,12/11/17
JUBILANT GALA,Event,12/12/17
CAPE OF GOOD HOPE,On the Map,12/13/17
MIXING BOWLS WITH LIDS,In the Kitchen,12/14/17
POWER FAILURE,Event,12/15/17
BILOXI AND JACKSON,On the Map,12/18/17
BASHFUL AND GRUMPY,Characters,12/19/17
WHITE BLAZER,What Are You Wearing?,12/20/17
OCEAN KAYAKING,Fun &amp; Games,12/21/17
SHOCK WAVE,Thing,12/22/17
PLAYING IN THE BACKYARD,Fun &amp; Games,12/25/17
BAG OF CHIPS,Food &amp; Drink,12/26/17
BRIEF CAMEO,Show Biz,12/27/17
WOOD VANITY,Around the House,12/28/17
FAMILY PHYSICIAN,Occupation,12/29/17
GIANT IGUANA,Living Thing,1/1/18
WICKED QUEEN,Character,1/2/18
ITALIAN BAKERY,Place,1/3/18
GOING WAY OVERBOARD,What Are You Doing?,1/4/18
THE USUAL HANGOUT,Place,1/5/18
MATH WORKBOOK,Thing,1/8/18
HANDPICKED AVOCADO,Food &amp; Drink,1/9/18
JOIN OUR GROUP,Phrase,1/10/18
UPSCALE BOUTIQUE,Place,1/11/18
FILM CLIP,Show Biz,1/12/18
TAKING A POP QUIZ,What Are You Doing?,1/15/18
BLACK PUMPS,What Are You Wearing?,1/16/18
AMBITIOUS PROJECT,Thing,1/17/18
WIGGLE OUT OF IT,Phrase,1/18/18
A JAR OF COINS,Around the House,1/19/18
FUZZY WARM GLOVES,What Are You Wearing?,1/22/18
THAT ABOUT WRAPS IT UP,Phrase,1/23/18
SWOOPING HAWKS,Living Things,1/24/18
CROWDED GYM,Place,1/25/18
KINGS AND DUKES,People,1/26/18
BEIGE KHAKIS,What Are You Wearing?,1/29/18
I FOUND A WAY,Phrase,1/30/18
PINK BEGONIAS,Living Things,1/31/18
CERAMIC BAKEWARE,In the Kitchen,2/1/18
BLACK OLIVES,Food &amp; Drink,2/2/18
FANCY GOLD WATCH,What Are You Wearing?,2/5/18
TAKING UP A HOBBY,What Are You Doing?,2/6/18
GROUND PAPRIKA,Food &amp; Drink,2/7/18
JUNIOR PROM,Event,2/8/18
QUALIFIED BUYER,Person,2/9/18
FORGING ONWARD,What Are You Doing?,2/12/18
CREATIVE VISIONARY,Person,2/13/18
WITHDRAWING FUNDS,What Are You Doing?,2/14/18
WHAT AN AMAZING DAY,Phrase,2/15/18
KICKING AROUND IDEAS,What Are You Doing?,2/16/18
WOOL PANTS,What Are You Wearing?,2/19/18
DOUBLE BOILER,In the Kitchen,2/20/18
BABY GROUNDHOGS,Living Things,2/21/18
QUIET OFFICE,Place,2/22/18
HUNGRY JAGUAR,Living Thing,2/23/18
GO WILD,Phrase,2/26/18
HAPPY OCCASION,Event,2/27/18
YUMMY POUND CAKE,Food &amp; Drink,2/28/18
SPACIOUS BACKYARD,Place,3/1/18
VIRAL VIDEO,Thing,3/2/18
AVID BACKPACKER,Person,3/5/18
